county,week,flood_type,detected_pixel_days,mean_cloud_fraction,unique_grid_cells,detected_area_km2,year,month
Aweil Centre,2008-10-13,unusual,702,0.0,382,20.275397754793666,2008,10
Aweil Centre,2008-10-20,recurring,339,0.0,69,3.6600912150051763,2008,10
Aweil Centre,2008-10-20,unusual,2060,0.0,877,46.53884308078731,2008,10
Aweil Centre,2008-10-27,recurring,335,0.0,70,3.713118685935471,2008,10
Aweil Centre,2008-10-27,unusual,1891,0.0,722,38.309589261514525,2008,10
Aweil Centre,2008-11-03,recurring,213,0.0,36,1.909523314544909,2008,11
Aweil Centre,2008-11-03,unusual,1036,0.0,426,22.605465867461703,2008,11
Aweil Centre,2008-11-10,recurring,155,0.0,35,1.8564442190029709,2008,11
Aweil Centre,2008-11-10,unusual,646,0.0,172,9.1278222422355,2008,11
Aweil Centre,2008-11-17,recurring,45,0.0,16,0.8487442652823602,2008,11
Aweil Centre,2008-11-17,unusual,323,0.0,93,4.93686218241846,2008,11
Aweil Centre,2008-11-24,recurring,9,0.0,4,0.21228905770198456,2008,11
Aweil Centre,2008-11-24,unusual,233,0.0,58,3.0789742250333423,2008,11
Aweil Centre,2008-12-01,unusual,133,0.0,50,2.6542855709477733,2008,12
Aweil Centre,2008-12-08,unusual,130,0.0,44,2.3357708705977482,2008,12
Aweil Centre,2008-12-15,unusual,105,0.0,34,1.8049091274321187,2008,12
Aweil Centre,2009-08-17,recurring,10,0.0,4,0.21231638222911742,2009,8
Aweil Centre,2009-08-17,unusual,20,0.0,18,0.9552972692634358,2009,8
Aweil Centre,2009-08-24,recurring,18,0.0,11,0.5836998703089705,2009,8
Aweil Centre,2009-08-24,unusual,85,0.0,68,3.6081502971254684,2009,8
Aweil Centre,2009-08-31,recurring,23,0.0,20,1.0608215210339371,2009,8
Aweil Centre,2009-08-31,unusual,40,0.0,32,1.697402874806109,2009,8
Aweil Centre,2009-09-07,recurring,10,0.0,10,0.5305715675862145,2009,9
Aweil Centre,2009-09-07,unusual,12,0.0,9,0.47762357839506525,2009,9
Aweil Centre,2009-09-14,recurring,6,0.0,4,0.21222966735489107,2009,9
Aweil Centre,2009-09-14,unusual,3,0.0,3,0.1592016480236271,2009,9
Aweil Centre,2009-09-21,recurring,14,0.0,12,0.6365834547241638,2009,9
Aweil Centre,2009-09-21,unusual,7,0.0,7,0.37139754282826665,2009,9
Aweil Centre,2009-09-28,recurring,40,0.0,39,2.068536570284187,2009,9
Aweil Centre,2009-09-28,unusual,32,0.0,26,1.3792501495026872,2009,9
Aweil Centre,2009-10-12,recurring,14,0.0,13,0.6896072318216301,2009,10
Aweil Centre,2009-10-12,unusual,3,0.0,3,0.15915057314526648,2009,10
Aweil Centre,2009-10-19,unusual,1,0.0,1,0.05307188681895483,2009,10
Aweil Centre,2009-10-26,unusual,1,0.0,1,0.0530933815313373,2009,10
Aweil Centre,2010-01-25,unusual,2,0.0,2,0.10619724559903912,2010,1
Aweil Centre,2010-08-16,recurring,4,0.0,4,0.21231638222911742,2010,8
