county,run_id,start_week,end_week,county_detected_weeks,peak_weekly_union_area_km2,cumulative_detected_area_km2_weeks
Aweil East,35,2009-11-23,2009-11-23,1,0.5828650582138886,0.5828650582138886
Aweil East,36,2010-02-22,2010-02-22,1,0.05294995170966331,0.05294995170966331
Aweil East,37,2010-04-26,2010-04-26,1,0.1588422308453287,0.1588422308453287
Aweil East,38,2010-08-16,2010-08-16,1,1.1664233024888777,1.1664233024888777
Aweil East,39,2010-08-30,2011-01-10,20,140.81798847027827,956.7272972682722
Aweil East,40,2011-08-22,2011-08-22,1,0.1590596889037526,0.1590596889037526
Aweil East,41,2011-09-12,2011-10-17,6,23.963623431915234,44.851601407727486
Aweil East,42,2011-10-31,2011-10-31,1,0.31792830566916463,0.31792830566916463
Aweil East,43,2011-11-21,2011-12-19,5,0.8484473023532287,1.3787277304408607
Aweil East,44,2012-08-13,2012-08-27,3,2.3326660610382075,2.597479917018827
Aweil East,45,2012-09-10,2012-12-03,13,40.92830238627105,145.10389373704814
Aweil East,46,2012-12-17,2012-12-31,3,0.2121108412263637,0.37120296346770276
Aweil East,47,2013-05-06,2013-05-06,1,1.6439892886128062,1.6439892886128062
Aweil East,48,2013-08-12,2014-01-13,23,114.20308123736694,501.9334834350241
Aweil East,49,2014-02-03,2014-02-03,1,0.05294868155569791,0.05294868155569791
Aweil East,50,2014-08-11,2014-08-25,3,2.0146047222544463,3.4990291857019065
Aweil East,51,2014-09-08,2014-12-29,17,185.35006120602756,662.6224490418559
Aweil East,52,2015-08-24,2015-08-24,1,0.052986917810977946,0.052986917810977946
Aweil East,53,2015-09-14,2015-10-05,4,14.314155134913616,31.227055969484223
Aweil East,54,2015-11-09,2015-11-30,4,11.82409326526152,27.72915318649867
Aweil East,55,2016-01-04,2016-01-04,1,0.15883554815495296,0.15883554815495296
Aweil East,56,2016-07-11,2016-07-11,1,1.6434417658463483,1.6434417658463483
Aweil East,57,2016-07-25,2016-09-26,10,23.32564261620265,49.24780192685925
Aweil East,58,2016-10-10,2016-10-24,3,0.15904760738172483,0.3711114871490139
Aweil East,59,2016-11-07,2016-11-07,1,0.05301172838180079,0.05301172838180079
Aweil East,60,2016-12-05,2016-12-12,2,0.21183682343410187,0.2647842337158781
Aweil East,61,2017-09-25,2017-10-02,2,4.664054062898327,6.943711116273692
Aweil East,62,2017-10-16,2017-10-16,1,5.565653435368579,5.565653435368579
Aweil East,63,2017-10-30,2017-12-04,6,3.126771758938854,10.070245958898179
Aweil East,64,2017-12-18,2017-12-25,2,0.10606080966029122,0.15909420568928273
Aweil East,65,2018-03-19,2018-03-19,1,0.21210305419445777,0.21210305419445777
Aweil East,66,2018-05-28,2018-05-28,1,0.052941994799602335,0.052941994799602335
Aweil East,67,2018-07-16,2018-07-16,1,0.21208204838383127,0.21208204838383127
Aweil East,68,2018-07-30,2018-08-13,3,21.36926119521477,39.821768916477396
Aweil East,69,2018-08-27,2018-08-27,1,1.2193208426266797,1.2193208426266797
Aweil East,70,2018-09-10,2018-12-17,15,44.060093441699216,153.21619830071944
Aweil East,71,2019-06-03,2019-06-10,2,16.387004128860127,18.402229877098993
Aweil East,72,2019-06-24,2019-06-24,1,0.3712209305715853,0.3712209305715853
Aweil East,73,2019-07-15,2019-07-15,1,0.7954550036492343,0.7954550036492343
Aweil East,74,2019-08-26,2019-12-02,15,41.3059065833035,119.82017081218262
Aweil East,75,2019-12-16,2020-01-13,5,0.6893284321778604,1.3255785244615959
