state,county,county_code,week,flood_type,detected_pixel_days,unique_grid_cells,detected_area_km2
Jonglei,Fangak,SS0306,2000-12-04,unusual,6,4,0.2119976099199934
Jonglei,Fangak,SS0306,2000-12-11,recurring,25,14,0.7416736532588223
Jonglei,Fangak,SS0306,2000-12-11,unusual,11,9,0.4768605049774681
Jonglei,Fangak,SS0306,2000-12-18,recurring,5,4,0.2117419696002664
Jonglei,Fangak,SS0306,2000-12-25,recurring,13,6,0.3177436428965259
Jonglei,Fangak,SS0306,2000-12-25,unusual,9,6,0.3178235910806653
Jonglei,Pibor,SS0308,2000-03-27,unusual,2,2,0.10673872077139783
Jonglei,Pibor,SS0308,2000-07-31,unusual,162,160,8.537791890856994
Jonglei,Pibor,SS0308,2000-11-27,unusual,13,11,0.5864478466524541
Jonglei,Pibor,SS0308,2000-12-18,unusual,2,2,0.10664722145804854
Jonglei,Pochalla,SS0309,2000-12-04,unusual,1,1,0.05327868467285458
Jonglei,Pochalla,SS0309,2000-12-18,unusual,12,12,0.6394143353699892
Jonglei,Pochalla,SS0309,2000-12-25,unusual,34,34,1.80957626686326
Jonglei,Twic East,SS0310,2000-02-28,unusual,12,11,0.5860801417082623
Jonglei,Twic East,SS0310,2000-03-13,unusual,2,2,0.10654539242083857
Jonglei,Twic East,SS0310,2000-03-27,recurring,6,5,0.26640976845778463
Jonglei,Twic East,SS0310,2000-03-27,unusual,8,7,0.37292440054409426
Jonglei,Twic East,SS0310,2000-05-01,unusual,5,5,0.2662556893116299
Jonglei,Twic East,SS0310,2000-05-15,unusual,8,7,0.37297119393396444
Jonglei,Twic East,SS0310,2000-06-19,unusual,4,4,0.21303972857818604
Jonglei,Twic East,SS0310,2000-07-31,recurring,2,2,0.10655615510687172
Jonglei,Twic East,SS0310,2000-07-31,unusual,5,5,0.26644537831607346
Jonglei,Twic East,SS0310,2000-08-21,unusual,5,5,0.2663121136730878
Jonglei,Twic East,SS0310,2000-09-11,recurring,1,1,0.053275172549532145
Jonglei,Twic East,SS0310,2000-09-11,unusual,1,1,0.05329463630688285
Jonglei,Twic East,SS0310,2000-10-16,recurring,1,1,0.0532520782804275
Jonglei,Twic East,SS0310,2000-10-16,unusual,1,1,0.05325135347258068
Jonglei,Twic East,SS0310,2000-10-23,recurring,1,1,0.053284039170295935
Jonglei,Twic East,SS0310,2000-11-27,recurring,3,3,0.15980696042674553
Jonglei,Twic East,SS0310,2000-11-27,unusual,24,24,1.2782329249751931
Jonglei,Twic East,SS0310,2000-12-04,recurring,4,3,0.159827052958867
Jonglei,Twic East,SS0310,2000-12-04,unusual,37,29,1.5442804870768567
Jonglei,Twic East,SS0310,2000-12-11,unusual,6,3,0.1597769171009238
