county_code,run_id,start_week,end_week,county_detected_weeks,peak_weekly_union_area_km2,cumulative_detected_area_km2_weeks,potential_cattle_exposure_weeks,flooded_rangeland_km2_weeks,state,county
SS0201,86,2015-01-19,2015-02-09,4,1.8720648801955848,3.1027163556726975,52.10741197612603,3.078102225664715,Eastern Equatoria,Budi
SS0201,87,2015-02-23,2015-03-02,2,0.2676467548893079,0.4817110772715231,9.521735202687125,0.4116226660115679,Eastern Equatoria,Budi
SS0201,88,2015-03-16,2015-03-16,1,0.05351177509821573,0.05351177509821573,1.245968891326732,0.04869571533937631,Eastern Equatoria,Budi
SS0201,89,2015-08-17,2015-08-31,3,0.32119665283707155,0.42825934054697024,8.248256456779961,0.41915888356513475,Eastern Equatoria,Budi
SS0201,90,2015-09-14,2015-09-14,1,0.10698345929380279,0.10698345929380279,2.051528698706488,0.08130742906329011,Eastern Equatoria,Budi
SS0201,91,2015-09-28,2015-10-05,2,1.9267003865838548,2.0872585301583872,40.628663460946896,1.8143347712238342,Eastern Equatoria,Budi
SS0201,92,2015-10-26,2015-10-26,1,0.05348557130512308,0.05348557130512308,1.093321607209757,0.05348557130512308,Eastern Equatoria,Budi
SS0201,93,2015-11-09,2015-11-09,1,0.05353658470656848,0.05353658470656848,1.1042822877836815,0.0530012188595028,Eastern Equatoria,Budi
SS0201,94,2015-11-23,2015-11-30,2,0.5888193226033023,0.6423248532931071,14.506595163587395,0.5802325683850444,Eastern Equatoria,Budi
SS0201,95,2015-12-14,2015-12-14,1,0.05352697978729799,0.05352697978729799,1.3213499046903086,0.028369299287267936,Eastern Equatoria,Budi
SS0201,96,2016-01-04,2016-01-18,3,0.21402781849797778,0.42798448351852425,7.974656083625678,0.41995907497869966,Eastern Equatoria,Budi
SS0201,97,2016-02-29,2016-03-07,2,0.2674779477566191,0.32097310391702055,6.9242664804773035,0.30813406215900363,Eastern Equatoria,Budi
SS0201,98,2016-05-09,2016-05-09,1,0.32087867126687075,0.32087867126687075,5.689578696472488,0.32087867126687075,Eastern Equatoria,Budi
SS0201,99,2016-06-06,2016-06-06,1,0.21396896817249966,0.21396896817249966,3.39672166923114,0.21182894060061994,Eastern Equatoria,Budi
SS0201,100,2016-08-29,2016-08-29,1,0.05348301368446657,0.05348301368446657,1.0752169425501352,0.040647090400194597,Eastern Equatoria,Budi
SS0201,101,2016-10-17,2016-12-19,10,14.339560731764175,22.901096143165876,440.8413426509227,18.488035125981742,Eastern Equatoria,Budi
