state,county,county_code,detected_weeks,largest_weekly_flood_area_km2,largest_weekly_flood_percent,flood_area_km2_weeks,flooded_rangeland_km2_weeks,potential_cattle_weeks,peak_potential_cattle_exposed,peak_flooded_rangeland_km2,mapped_cattle,mapped_rangeland_km2,mean_weekly_potential_cattle_exposed,mean_weekly_flooded_rangeland_km2,cattle_exposure_weeks_per_year,rangeland_exposure_weeks_per_year,cattle_absolute_rank,rangeland_absolute_rank
Lakes,Wulu,SS0406,252,9.766810900493986,0.08246535080292629,207.5290183712087,140.30637877462516,2723.380704061694,124.36546738334035,6.986712414996288,166683.00024819636,6598.850223343937,2.0069128253955,0.10339453115300307,0.0006284108849655408,0.000817778704015626,62,62
Lakes,Yirol East,SS0407,1142,167.3141525784997,3.0046092060510756,11056.480643742425,910.6669756760061,87108.35661256782,2867.747337625408,30.224994778566618,142276.76368076613,2125.036146575075,64.19186191051423,0.6710884124362609,0.02354791690154675,0.016482379825428637,30,38
Lakes,Yirol West,SS0408,766,64.68819577429986,1.3313878315495657,1199.4623093296696,523.1352168813,54007.61463430818,2586.148479597205,54.028177615083564,204961.6287366536,3645.1566643213937,39.79927386463388,0.3855086344003685,0.01013465769313493,0.005519813582116961,36,47
Northern Bahr el Ghazal,Aweil Centre,SS0501,267,93.65147934660487,0.8394155917756815,1066.1971043101537,731.9148811208274,32947.693277516264,2606.1761874762956,69.09611194772236,364961.8333817694,6375.796523491362,24.279803446953768,0.5393624768760703,0.003472195874483636,0.004415224395427524,43,42
Northern Bahr el Ghazal,Aweil East,SS0502,478,375.2640735056267,5.893397354845327,10640.655156990138,5165.045629462362,855560.3354014325,29595.90885298142,177.69478480455615,505027.78025618306,4349.461713847028,630.4792449531558,3.8062237505249534,0.06515714190913771,0.0456736061156083,9,16
Northern Bahr el Ghazal,Aweil North,SS0503,138,42.846643336462506,0.6755146775921028,480.74837138237046,252.68666092688483,41172.034802732924,3504.4205808089255,33.50391153412409,463800.5038861725,4454.177362811882,30.34048253701763,0.1862097722379402,0.00341426925334637,0.002181933258675126,39,53
Northern Bahr el Ghazal,Aweil South,SS0504,319,169.81083513225167,8.589827892703568,5938.920804031886,3484.2133070890955,447909.61605252826,12315.528044122098,112.70931483196274,141256.8006910938,1488.70602424816,330.07340902912915,2.5675853405225464,0.12195726393924633,0.09001656602181712,16,25
Northern Bahr el Ghazal,Aweil West,SS0505,255,91.05832242619084,1.818311087770665,2092.4789673808664,1056.3560214897698,168182.01727792056,7449.587006407349,55.99178116648319,318964.9515941321,3606.9611470789,123.93663764032466,0.778449536838445,0.020279780250918537,0.011264074131352931,25,36
Unity,Abiemnhom,SS0601,167,21.746167413892188,0.9031449066287067,275.1523529167924,169.21990555729937,7342.778830700913,547.0146048810356,15.526047762572356,73586.64128463752,1164.608356296311,5.411038195063311,0.12470147793463476,0.003837851075702412,0.005588537872721592,55,60
Unity,Guit,SS0602,766,711.5034883803665,20.598325124270243,59782.17615191435,28347.599881163667,1721053.0556713883,21384.860094146294,331.3164762962291,91577.56427380373,1216.0081150752221,1268.277859743101,20.88990411286932,0.7228227658156732,0.8966159761641345,3,4
Unity,Koch,SS0603,1040,70.45181827136777,1.602420439501671,7163.774567179393,1550.6582620080587,220218.27795246814,2306.2723770515076,33.71602746053468,176766.9940693639,1749.121352267066,162.28318198413274,1.1427105836463218,0.04791581036943466,0.03409752119692782,21,30
Unity,Leer,SS0604,881,68.8178545453488,4.271902788907523,4581.353141105835,3693.6002237971547,130969.99956576934,1885.6206852347061,63.142752110610886,50149.18049926602,777.6746644612891,96.51436961368411,2.7218866792904604,0.10044646044974231,0.182674778491762,27,24
